Date,PL Account,Amount,Description,Counterparty
2023-07-06,Other comprehensive income,648.94,Transaction 1395,Counterparty 1395
2024-04-13,Comissions and fees from sales,-1729.98,Transaction 1396,Counterparty 1396
2023-05-21,Prepaid expenses administrative,4187.26,Transaction 1397,Counterparty 1397
2023-07-22,Marketing and sales:Advertising,-2829.95,Transaction 1398,Counterparty 1398
2023-02-02,"Marketing and sales:Content creation (newsletters, blog, social media)",-4251.55,Transaction 1399,Counterparty 1399
2023-05-05,Liabilities related to assets held for sale,2199.35,Transaction 1400,Counterparty 1400
2023-01-07,Professional services:Contractors,769.42,Transaction 1401,Counterparty 1401
2023-04-23,Professional services,-1597.19,Transaction 1402,Counterparty 1402
2023-11-23,G&A expenses:Salary G&A Tax Expenses,-4929.8,Transaction 1403,Counterparty 1403
2023-07-11,Other comprehensive income,944.52,Transaction 1404,Counterparty 1404
2023-05-05,Amortisation / Depreciation,4517.38,Transaction 1405,Counterparty 1405
2023-02-08,Accounts Payable (A/P),-757.52,Transaction 1406,Counterparty 1406
2023-04-09,Staff expenses:Corporate events,1431.64,Transaction 1407,Counterparty 1407
2024-02-23,Prepaid expenses for projects,-126.27,Transaction 1408,Counterparty 1408
2023-02-04,Direct labour:Bonuses,-863.92,Transaction 1409,Counterparty 1409
2023-01-16,Donation,-4599.75,Transaction 1410,Counterparty 1410
2023-01-07,Short-term debit,-4006.65,Transaction 1411,Counterparty 1411
2024-06-15,Marketing and sales:PR,-4466.94,Transaction 1412,Counterparty 1412
2023-10-13,Stripe Other fees,-4573.04,Transaction 1413,Counterparty 1413
2024-04-26,Marketing and sales:Advertising,-2846.3,Transaction 1414,Counterparty 1414
2023-08-13,Marketing and sales:M&S team salary tax expenses,-2387.01,Transaction 1415,Counterparty 1415
2023-04-24,Principal repayment of lease obligations,2710.2,Transaction 1416,Counterparty 1416
2023-05-30,Stripe fees,-3673.54,Transaction 1417,Counterparty 1417
2023-11-13,"Property, plant and equipment",3139.37,Transaction 1418,Counterparty 1418
2024-06-13,Less:Discount,1260.52,Transaction 1419,Counterparty 1419
2023-03-26,WISE EUR,79.29,Transaction 1420,Counterparty 1420
2024-01-02,Income,1125.19,Transaction 1421,Counterparty 1421
2023-09-22,Dividends payable,-3555.07,Transaction 1422,Counterparty 1422
2023-10-05,Other Expenses:Comissions and fees,3247.83,Transaction 1423,Counterparty 1423
2023-08-12,Purchase & Sales of property and equipment,-107.15,Transaction 1424,Counterparty 1424
2024-06-06,Retained Earnings,1153.8,Transaction 1425,Counterparty 1425
2023-03-17,Prepaid expenses for projects,2808.46,Transaction 1426,Counterparty 1426
2024-02-13,Stripe sales,4210.37,Transaction 1427,Counterparty 1427
2023-12-11,G&A expenses,-3674.9,Transaction 1428,Counterparty 1428
2024-05-30,Growth subscription,2879.08,Transaction 1429,Counterparty 1429
2024-01-30,Inventory Asset,-2811.33,Transaction 1430,Counterparty 1430
2024-06-12,Travelling expenses,1827.63,Transaction 1431,Counterparty 1431
2023-04-21,Professional services:Financial & legal software,4846.74,Transaction 1432,Counterparty 1432
2023-06-10,Consulting,2712.48,Transaction 1433,Counterparty 1433
2023-10-15,Accrued liabilities,16.44,Transaction 1434,Counterparty 1434
2023-01-18,Staff expenses:Recruitment expenses,-1697.38,Transaction 1435,Counterparty 1435
2023-12-07,"Marketing and sales:Content creation (newsletters, blog, social media)",-68.93,Transaction 1436,Counterparty 1436
2023-04-18,Proceeds from debt,-1216.17,Transaction 1437,Counterparty 1437
2024-05-04,Payroll Clearing,3459.09,Transaction 1438,Counterparty 1438
2023-08-31,Taxes:State Taxes,-3061.68,Transaction 1439,Counterparty 1439
2023-07-13,Other Expenses,-4410.19,Transaction 1440,Counterparty 1440
2023-05-06,Payroll Clearing,-1773.55,Transaction 1441,Counterparty 1441
2023-07-04,Marketing and sales:Website improvements,2867.79,Transaction 1442,Counterparty 1442
2023-07-09,Income tax payable,4382.35,Transaction 1443,Counterparty 1443
2024-02-09,Liabilities related to assets held for sale,3726.14,Transaction 1444,Counterparty 1444
2023-12-12,Direct labour:Bonuses,-706.12,Transaction 1445,Counterparty 1445
2023-11-08,Uncategorised Income,-3474.61,Transaction 1446,Counterparty 1446
2024-03-31,Marketing and sales,4928.24,Transaction 1447,Counterparty 1447
2024-06-13,Comissions and fees from sales,-2574.4,Transaction 1448,Counterparty 1448
2023-07-23,Opening Balance Equity,-867.24,Transaction 1449,Counterparty 1449
2024-05-18,G&A expenses:Salary G&A,4818.72,Transaction 1450,Counterparty 1450
2024-05-02,Marketing and sales:Other sales expenses,4208.43,Transaction 1451,Counterparty 1451
2023-02-03,Staff expenses:Operational software,-4510.81,Transaction 1452,Counterparty 1452
2024-05-25,Mercury Savings *6214,3568.13,Transaction 1453,Counterparty 1453
2024-02-04,Professional services,1286.59,Transaction 1454,Counterparty 1454
2023-06-26,Common stock,-2379.12,Transaction 1455,Counterparty 1455
2023-09-11,Goodwill,2762.57,Transaction 1456,Counterparty 1456
2024-05-02,Direct labour:Bonuses,928.86,Transaction 1457,Counterparty 1457
2023-01-14,Less:Discount,4674.95,Transaction 1458,Counterparty 1458
2023-12-26,Inventory,-4847.99,Transaction 1459,Counterparty 1459
2024-05-17,"Property, Plant And Equipment Accumulated Depreciation",3227.46,Transaction 1460,Counterparty 1460
2024-06-01,Retained Earnings,-206.13,Transaction 1461,Counterparty 1461
2023-09-29,Work in process,4269.82,Transaction 1462,Counterparty 1462
2023-07-02,Less,-1097.39,Transaction 1463,Counterparty 1463
2023-04-12,Professional services:Financial & legal software,-2627.07,Transaction 1464,Counterparty 1464
2023-10-08,Professional services:Contractors,4095.24,Transaction 1465,Counterparty 1465
2023-06-25,Marketing and sales:Other sales expenses,1176.05,Transaction 1466,Counterparty 1466
2023-08-03,Goodwill,-2008.43,Transaction 1467,Counterparty 1467
2023-03-23,Inventory Asset,4137.13,Transaction 1468,Counterparty 1468
2023-10-21,R&D expenses:R&D software & other services,4885.09,Transaction 1469,Counterparty 1469
2024-01-01,Payroll Clearing,4741.98,Transaction 1470,Counterparty 1470
2023-06-13,Marketing and sales:Other marketing expenses,2675.1,Transaction 1471,Counterparty 1471
2023-04-22,Exchange Loss,1510.78,Transaction 1472,Counterparty 1472
2023-06-01,Other Expenses:PE Tax,-2475.16,Transaction 1473,Counterparty 1473
2023-02-21,Staff expenses:Recruitment expenses,-4845.14,Transaction 1474,Counterparty 1474
2023-04-30,Direct labour:Bonuses,937.77,Transaction 1475,Counterparty 1475
2023-09-27,Staff expenses:Education,4976.26,Transaction 1476,Counterparty 1476
2023-11-02,"Marketing and sales:Content creation (newsletters, blog, social media)",-2588.26,Transaction 1477,Counterparty 1477
2024-04-04,Accounts Payable (A/P),2123.6,Transaction 1478,Counterparty 1478
2024-02-03,Professional services:Legal consultancy,3652.27,Transaction 1479,Counterparty 1479
2023-04-12,Accounts Receivable (A/R),2364.96,Transaction 1480,Counterparty 1480
2023-03-12,R&D expenses:R&D team salary,425.52,Transaction 1481,Counterparty 1481
2023-01-11,Prepaid expenses administrative,-877.04,Transaction 1482,Counterparty 1482
2024-03-03,Staff expenses:Other staff expenses,-1427.24,Transaction 1483,Counterparty 1483
2023-10-12,Short-Term Investments,-2797.43,Transaction 1484,Counterparty 1484
2023-09-15,Consulting,-3182.98,Transaction 1485,Counterparty 1485
2023-11-29,Marketing and sales:Other marketing expenses,-2587.79,Transaction 1486,Counterparty 1486
2023-01-25,Opening Balance Equity,-3579.81,Transaction 1487,Counterparty 1487
2023-01-10,Amortisation / Depreciation,3857.64,Transaction 1488,Counterparty 1488
2024-05-28,Office expenses:Other office expenses,-4854.06,Transaction 1489,Counterparty 1489
2023-04-25,Marketing and sales,4461.33,Transaction 1490,Counterparty 1490
2024-06-15,Marketing and sales,-2302.08,Transaction 1491,Counterparty 1491
2023-08-22,Purchase & Sales of property and equipment,-2280.16,Transaction 1492,Counterparty 1492
2023-02-25,G&A expenses:Salary G&A Tax Expenses,-1603.94,Transaction 1493,Counterparty 1493
2024-03-31,Staff expenses:Recruitment expenses,-3527.38,Transaction 1494,Counterparty 1494
2023-05-29,Other Expenses,3228.18,Transaction 1495,Counterparty 1495
2023-03-18,Work in process,925.75,Transaction 1496,Counterparty 1496
2023-04-26,Stripe sales,-3330.09,Transaction 1497,Counterparty 1497
2023-06-01,Purchase & Sales of intangible assets,3243.57,Transaction 1498,Counterparty 1498
2024-03-02,Stripe sales,-4131.63,Transaction 1499,Counterparty 1499
2023-08-08,Prepaid expenses for projects,-2019.03,Transaction 1500,Counterparty 1500
2024-05-04,Staff expenses:Education,-856.64,Transaction 1501,Counterparty 1501
2023-09-23,WISE USD,127.43,Transaction 1502,Counterparty 1502
2023-05-30,Growth subscription,-3721.94,Transaction 1503,Counterparty 1503
2023-07-03,Marketing and sales,-1201.1,Transaction 1504,Counterparty 1504
2023-07-31,Intangible assets,-3316.35,Transaction 1505,Counterparty 1505
2023-12-11,Professional services:Professional services,-1708.52,Transaction 1506,Counterparty 1506
2024-03-06,Proceeds from debt,3796.72,Transaction 1507,Counterparty 1507
2024-02-22,Marketing and sales:Sales software & other services,2831.92,Transaction 1508,Counterparty 1508
2024-06-03,Staff expenses:Recruitment expenses,-3564.52,Transaction 1509,Counterparty 1509
2023-07-17,R&D expenses,1602.36,Transaction 1510,Counterparty 1510
2023-03-23,Taxes:Federal Taxes,-588.81,Transaction 1511,Counterparty 1511
2023-05-30,Marketing and sales:PR,-4997.11,Transaction 1512,Counterparty 1512
2023-09-12,CHASE CHE *8731,-4591.61,Transaction 1513,Counterparty 1513
2024-05-22,Interest Payable,4428.35,Transaction 1514,Counterparty 1514
2023-08-30,Marketing and sales:PR,-1027.03,Transaction 1515,Counterparty 1515
2023-01-29,Interest Payable,3561.7,Transaction 1516,Counterparty 1516
2024-03-01,Office expenses:Office equipment,3346.34,Transaction 1517,Counterparty 1517
2024-06-18,Current portion of long-term debt,-1560.12,Transaction 1518,Counterparty 1518
2024-05-06,Other Expenses:Other general and administrative expenses,3789.5,Transaction 1519,Counterparty 1519
2023-06-17,Amortisation / Depreciation,4295.97,Transaction 1520,Counterparty 1520
2023-08-08,Uncategorised Income,-67.13,Transaction 1521,Counterparty 1521
2024-03-13,Short-term debit,288.59,Transaction 1522,Counterparty 1522
2023-02-03,Payroll liabilities,2838.92,Transaction 1523,Counterparty 1523
2024-03-11,Comissions and fees from sales:Stripe fee,1384.49,Transaction 1524,Counterparty 1524
2023-04-16,Income tax payable,-2966.31,Transaction 1525,Counterparty 1525
2024-01-26,R&D expenses,-2418.1,Transaction 1526,Counterparty 1526
2024-05-29,CHASE SAV *2868,-4499.92,Transaction 1527,Counterparty 1527
2024-04-07,Grants and other financial income,4003.15,Transaction 1528,Counterparty 1528
2024-02-04,G&A expenses:Salary G&A Tax Expenses,3156.41,Transaction 1529,Counterparty 1529
2024-05-12,Staff expenses:Operational software,-1670.09,Transaction 1530,Counterparty 1530
2024-04-17,Share capital,-3809.06,Transaction 1531,Counterparty 1531
2024-02-28,Amortisation / Depreciation,2138.58,Transaction 1532,Counterparty 1532
2023-05-07,G&A expenses:Salary G&A,-812.55,Transaction 1533,Counterparty 1533
2023-05-07,G&A expenses:Salary G&A Tax Expenses,-2033.15,Transaction 1534,Counterparty 1534
2023-12-20,Stripe Other fees,-2433.35,Transaction 1535,Counterparty 1535
2024-05-11,Payroll Clearing,2095.6,Transaction 1536,Counterparty 1536
2023-11-19,CHASE CHE *8731,-609.54,Transaction 1537,Counterparty 1537
2023-09-12,Custom subscription,2618.17,Transaction 1538,Counterparty 1538
2023-09-12,Proceeds from debt,929.16,Transaction 1539,Counterparty 1539
2023-02-23,Marketing and sales:M&S team salary tax expenses,4917.01,Transaction 1540,Counterparty 1540
2023-07-18,Prepaid Income,-3892.89,Transaction 1541,Counterparty 1541
2023-12-30,Project's direct cost:Subcontractors,-1077.58,Transaction 1542,Counterparty 1542
2024-01-18,Office expenses:Facilities,2248.3,Transaction 1543,Counterparty 1543
2024-04-05,Direct labour,4512.46,Transaction 1544,Counterparty 1544
2023-09-15,Share capital,-2876.17,Transaction 1545,Counterparty 1545
2023-01-06,Stripe fees,-786.81,Transaction 1546,Counterparty 1546
2023-08-11,G&A expenses:Salary G&A Tax Expenses,-1330.93,Transaction 1547,Counterparty 1547
2024-04-16,Staff expenses:Corporate events,-2547.54,Transaction 1548,Counterparty 1548
2023-04-09,Other Expenses:Comissions and fees,810.81,Transaction 1549,Counterparty 1549
2023-04-05,Short-term debit,-2851.47,Transaction 1550,Counterparty 1550
2023-04-25,Marketing and sales:PR,10.26,Transaction 1551,Counterparty 1551
2024-04-19,Income,246.77,Transaction 1552,Counterparty 1552
2024-02-04,Essential subscription,1025.69,Transaction 1553,Counterparty 1553
2023-11-17,Marketing and sales:Sales software & other services,-569.88,Transaction 1554,Counterparty 1554
2024-04-09,Taxes:Federal Taxes,4990.49,Transaction 1555,Counterparty 1555
2023-07-15,Professional services:Financial consultancy,-757.05,Transaction 1556,Counterparty 1556
2024-01-23,Intangible Assets Accumulated Amortization,-4746.67,Transaction 1557,Counterparty 1557
2024-01-25,Dividends paid,3658.58,Transaction 1558,Counterparty 1558
2023-01-25,Dividends payable,4287.37,Transaction 1559,Counterparty 1559
2024-03-26,Available for sale assets (short-term),2924.88,Transaction 1560,Counterparty 1560
2023-06-26,Interest Payable,3130.4,Transaction 1561,Counterparty 1561
2023-08-17,Accounts Receivable (A/R),3135.12,Transaction 1562,Counterparty 1562
2023-09-26,Marketing and sales:Other sales expenses,917.69,Transaction 1563,Counterparty 1563
2023-12-25,Staff expenses:Operational software,278.94,Transaction 1564,Counterparty 1564
2023-04-06,Interest Income,-3005.69,Transaction 1565,Counterparty 1565
2024-05-15,Mercury CHE *6028,3651.48,Transaction 1566,Counterparty 1566
2023-12-21,"Property, Plant And Equipment Accumulated Depreciation",892.69,Transaction 1567,Counterparty 1567
2024-05-09,Marketing and sales:PR,-48.57,Transaction 1568,Counterparty 1568
2023-07-10,Uncategorised Asset,1588.14,Transaction 1569,Counterparty 1569
2023-08-27,"Property, plant and equipment",-2958.27,Transaction 1570,Counterparty 1570
2024-02-16,Other income,1997.24,Transaction 1571,Counterparty 1571
2023-09-29,Project's direct cost,-4006.18,Transaction 1572,Counterparty 1572
2023-06-24,Current portion of long-term debt,4549.86,Transaction 1573,Counterparty 1573
2023-06-26,Exchange Loss,-1650.85,Transaction 1574,Counterparty 1574
2023-09-26,Payroll Clearing,3497.21,Transaction 1575,Counterparty 1575
2023-08-05,Marketing and sales:Website improvements,-4994.79,Transaction 1576,Counterparty 1576
2023-03-09,Billable Expense Income,1248.07,Transaction 1577,Counterparty 1577
2023-05-11,Direct labour:Bonuses,-3457.39,Transaction 1578,Counterparty 1578
2023-02-06,Uncategorised Income,-3229.92,Transaction 1579,Counterparty 1579
2023-03-31,Income tax payable,-3217.19,Transaction 1580,Counterparty 1580
2024-05-16,Intangible Assets Accumulated Amortization,3417.37,Transaction 1581,Counterparty 1581
2023-06-13,Share capital,2362.75,Transaction 1582,Counterparty 1582
2024-05-20,Other income,-302.65,Transaction 1583,Counterparty 1583
2024-02-23,Accounts Receivable (A/R),1869.9,Transaction 1584,Counterparty 1584
2024-02-06,Intangible assets,-2712.71,Transaction 1585,Counterparty 1585
2023-03-15,Marketing and sales:Marketing team salary,-2982.71,Transaction 1586,Counterparty 1586
2023-10-18,Direct labour:Bonuses,-2892.85,Transaction 1587,Counterparty 1587
2023-09-11,Billable Expense Income,1294.14,Transaction 1588,Counterparty 1588
2023-03-29,Bookkeeping subscription,4099.12,Transaction 1589,Counterparty 1589
2024-01-04,Professional services:Professional services,4960.75,Transaction 1590,Counterparty 1590
2023-01-25,Grants and other financial income,-3092.67,Transaction 1591,Counterparty 1591
2023-05-26,Short-Term Investments,1930.14,Transaction 1592,Counterparty 1592
2023-05-05,Uncategorised Expense,-3759.74,Transaction 1593,Counterparty 1593
2023-08-12,Staff expenses:Recruitment expenses,-4666.87,Transaction 1594,Counterparty 1594
2023-08-22,Inventory,-2754.33,Transaction 1595,Counterparty 1595
2024-01-16,Professional services:Bookkeeping,1223.21,Transaction 1596,Counterparty 1596
2023-07-08,Retained Earnings,-97.33,Transaction 1597,Counterparty 1597
2023-02-28,WISE EUR,1719.92,Transaction 1598,Counterparty 1598
2023-04-13,Prepaid Income,-1817.91,Transaction 1599,Counterparty 1599
2023-12-22,Share capital,-3847.58,Transaction 1600,Counterparty 1600
2023-05-22,Staff expenses:Recruitment expenses,-2878.92,Transaction 1601,Counterparty 1601
2023-08-31,Inventory,2847.53,Transaction 1602,Counterparty 1602
2023-07-05,Marketing and sales:Sales software & other services,-2536.47,Transaction 1603,Counterparty 1603
2023-08-16,Mercury CHE *6028,-371.71,Transaction 1604,Counterparty 1604
2023-03-29,Marketing and sales:Website improvements,-1404.96,Transaction 1605,Counterparty 1605
2024-03-06,Undeposited Funds,2014.45,Transaction 1606,Counterparty 1606
2023-12-09,Prepaid expenses administrative,-4450.73,Transaction 1607,Counterparty 1607
2023-10-26,Other Expenses:Other general and administrative expenses,-3562.95,Transaction 1608,Counterparty 1608
2024-04-06,Accrued liabilities,-1438.55,Transaction 1609,Counterparty 1609
2023-11-18,G&A expenses:Salary G&A Tax Expenses,2965.18,Transaction 1610,Counterparty 1610
2023-05-16,Short-Term Investments,-216.57,Transaction 1611,Counterparty 1611
2023-03-10,Inventory Asset,-3424.25,Transaction 1612,Counterparty 1612
2023-02-20,Professional services:Contractors,2691.37,Transaction 1613,Counterparty 1613
2023-09-27,Direct labour:Bonuses,604.32,Transaction 1614,Counterparty 1614
2024-05-19,Staff expenses:Recruitment software,-2288.58,Transaction 1615,Counterparty 1615
2023-02-18,Accrued holiday payable,4573.5,Transaction 1616,Counterparty 1616
2024-06-08,Income,4906.74,Transaction 1617,Counterparty 1617
2023-07-29,Interest Income,-2481.88,Transaction 1618,Counterparty 1618
2024-02-10,Uncategorised Expense,177.06,Transaction 1619,Counterparty 1619
2023-02-19,Uncategorised Expense,304.18,Transaction 1620,Counterparty 1620
2024-05-28,Short-term debit,1237.58,Transaction 1621,Counterparty 1621
2024-03-14,Accrued liabilities,-3839.38,Transaction 1622,Counterparty 1622
2023-04-26,G&A expenses,-886.42,Transaction 1623,Counterparty 1623
2023-02-11,Opening Balance Equity,-594.03,Transaction 1624,Counterparty 1624
2023-09-26,Direct labour:Bonuses,1771.61,Transaction 1625,Counterparty 1625
2023-03-01,Short-Term Investments,-3412.75,Transaction 1626,Counterparty 1626
2023-11-05,Marketing and sales:Refferal program,-1005.4,Transaction 1627,Counterparty 1627
2023-02-26,Mercury Savings *6214,-2915.78,Transaction 1628,Counterparty 1628
2023-09-07,Retained Earnings,1053.23,Transaction 1629,Counterparty 1629
2024-05-28,Interest Payable,-2851.39,Transaction 1630,Counterparty 1630
2023-01-29,Income,-2360.42,Transaction 1631,Counterparty 1631
2023-02-09,Principal repayment of lease obligations,-3510.71,Transaction 1632,Counterparty 1632
2023-04-02,Direct labour:Bonuses,292.03,Transaction 1633,Counterparty 1633
2023-06-08,Current portion of long-term debt,-2901.13,Transaction 1634,Counterparty 1634
2024-06-02,Office expenses:Facilities,1720.06,Transaction 1635,Counterparty 1635
2024-04-09,Marketing and sales:PR,-245.94,Transaction 1636,Counterparty 1636
2023-05-22,Staff expenses:Recruitment software,-839.41,Transaction 1637,Counterparty 1637
2023-01-22,Cost of sales,2996.72,Transaction 1638,Counterparty 1638
2023-03-22,WISE USD,-1933.6,Transaction 1639,Counterparty 1639
2023-01-09,R&D expenses:R&D team salary,-2818.99,Transaction 1640,Counterparty 1640
2024-01-30,Marketing and sales:Website improvements,3015.04,Transaction 1641,Counterparty 1641
2024-02-07,Growth subscription,2798.8,Transaction 1642,Counterparty 1642
2023-12-14,Project's direct cost:Subcontractors,1172.27,Transaction 1643,Counterparty 1643
2023-09-06,Marketing and sales:Other marketing expenses,-3237.84,Transaction 1644,Counterparty 1644
2023-11-27,Liabilities related to assets held for sale,2664.2,Transaction 1645,Counterparty 1645
2024-05-18,Liabilities related to assets held for sale,-2231.01,Transaction 1646,Counterparty 1646
2023-08-24,Share capital,1639.03,Transaction 1647,Counterparty 1647
2023-01-15,Common stock,-885.7,Transaction 1648,Counterparty 1648
2023-04-01,Dividends payable,4640.11,Transaction 1649,Counterparty 1649
2024-03-20,Bookkeeping subscription,4920.89,Transaction 1650,Counterparty 1650
2023-03-17,Interest Income,1628.24,Transaction 1651,Counterparty 1651
2023-05-15,Accrued non-current liabilities,-2423.33,Transaction 1652,Counterparty 1652
2023-06-18,Mercury CHE *6028,2592.6,Transaction 1653,Counterparty 1653
2024-02-01,Taxes:State Taxes,-4216.88,Transaction 1654,Counterparty 1654
2023-11-05,Amortisation / Depreciation,-1050.4,Transaction 1655,Counterparty 1655
2024-01-13,Staff expenses,-3394.53,Transaction 1656,Counterparty 1656
2023-05-10,Office expenses,-3208.97,Transaction 1657,Counterparty 1657
2023-12-15,Professional services:Professional services,1830.69,Transaction 1658,Counterparty 1658
2023-07-17,Stripe Other fees,3889.62,Transaction 1659,Counterparty 1659
2023-06-15,Bookkeeping subscription,4043.79,Transaction 1660,Counterparty 1660
2023-01-31,Professional services:Bookkeeping,3869.83,Transaction 1661,Counterparty 1661
2023-08-19,Sales,-2336.49,Transaction 1662,Counterparty 1662
2023-07-01,Staff expenses:Corporate events,2372.53,Transaction 1663,Counterparty 1663
2023-12-22,Dividend disbursed,1085.88,Transaction 1664,Counterparty 1664
2023-01-19,Donation,2792.0,Transaction 1665,Counterparty 1665
2024-02-07,Accrued holiday payable,-1890.61,Transaction 1666,Counterparty 1666
2023-10-14,Other Expenses,-1452.95,Transaction 1667,Counterparty 1667
2023-04-15,Office expenses:Facilities,3774.99,Transaction 1668,Counterparty 1668
2023-09-15,Exchange Loss,-3739.91,Transaction 1669,Counterparty 1669
2023-10-03,Office expenses:Other office expenses,4666.64,Transaction 1670,Counterparty 1670
2023-03-05,Office expenses:Other office expenses,-3650.32,Transaction 1671,Counterparty 1671
2023-05-07,Direct labour,1295.24,Transaction 1672,Counterparty 1672
2024-05-27,"Property, plant and equipment",-4466.3,Transaction 1673,Counterparty 1673
2023-10-03,Staff expenses:Recruitment software,-3883.9,Transaction 1674,Counterparty 1674
2023-12-02,Marketing and sales:Other sales expenses,-2004.47,Transaction 1675,Counterparty 1675
2024-03-05,Other income,-401.89,Transaction 1676,Counterparty 1676
2024-06-10,Common stock,-2051.4,Transaction 1677,Counterparty 1677
2023-03-05,G&A expenses:Salary G&A Tax Expenses,1828.18,Transaction 1678,Counterparty 1678
2023-09-10,Project's direct cost,-2053.67,Transaction 1679,Counterparty 1679
2023-10-16,Short-term debit,423.64,Transaction 1680,Counterparty 1680
2023-03-14,Staff expenses:Other staff expenses,-3670.1,Transaction 1681,Counterparty 1681
2023-02-14,WISE EUR,2380.72,Transaction 1682,Counterparty 1682
2023-10-07,Office expenses:Other office expenses,3841.48,Transaction 1683,Counterparty 1683
2024-06-11,Professional services:Financial & legal software,-1071.58,Transaction 1684,Counterparty 1684
2023-02-15,Professional services:Contractors,-3701.24,Transaction 1685,Counterparty 1685
2023-05-15,Taxes:Federal Taxes,2622.07,Transaction 1686,Counterparty 1686
2023-02-19,R&D expenses,-3627.89,Transaction 1687,Counterparty 1687
2024-02-21,Other comprehensive income,-441.86,Transaction 1688,Counterparty 1688
2024-04-10,CHASE CHE *8731,-1571.53,Transaction 1689,Counterparty 1689
2024-05-07,Prepaid expenses for projects,-148.01,Transaction 1690,Counterparty 1690
2023-08-29,Billable Expense Income,-270.76,Transaction 1691,Counterparty 1691
2023-03-21,Less,4147.77,Transaction 1692,Counterparty 1692
2024-03-04,Available for sale assets (short-term),2418.85,Transaction 1693,Counterparty 1693
2023-01-03,Interest Payable,-329.13,Transaction 1694,Counterparty 1694
2023-04-06,G&A expenses,1245.93,Transaction 1695,Counterparty 1695
2023-10-29,R&D expenses:R&D team salary,3058.66,Transaction 1696,Counterparty 1696
2023-06-24,Mercury Savings *6214,-4992.77,Transaction 1697,Counterparty 1697
2023-09-09,Accounts Receivable (A/R) - EUR,4548.12,Transaction 1698,Counterparty 1698
2023-05-14,Stripe fees,2494.82,Transaction 1699,Counterparty 1699
2024-04-06,Interest Income,876.24,Transaction 1700,Counterparty 1700
2023-11-06,Marketing and sales:Marketing software & other services,251.76,Transaction 1701,Counterparty 1701
2023-11-03,G&A expenses:Salary G&A,4814.08,Transaction 1702,Counterparty 1702
2023-06-21,Marketing and sales:Other marketing expenses,-4863.99,Transaction 1703,Counterparty 1703
2023-02-24,Other income,-1300.54,Transaction 1704,Counterparty 1704
2023-07-24,Marketing and sales:Marketing software & other services,4418.73,Transaction 1705,Counterparty 1705
2024-02-03,Purchase & Sales of property and equipment,2913.25,Transaction 1706,Counterparty 1706
2023-08-31,Office expenses,2873.74,Transaction 1707,Counterparty 1707
2023-04-26,Retained Earnings,-4410.44,Transaction 1708,Counterparty 1708
2023-12-08,Stripe expenses,3370.73,Transaction 1709,Counterparty 1709
2023-05-18,Undeposited Funds,3712.72,Transaction 1710,Counterparty 1710
2024-05-28,Professional services:Professional services,4334.28,Transaction 1711,Counterparty 1711
2023-06-26,Uncategorised Asset,4284.66,Transaction 1712,Counterparty 1712
2023-05-25,Marketing and sales:Refferal program,1215.38,Transaction 1713,Counterparty 1713
2023-07-27,Payroll Clearing,687.71,Transaction 1714,Counterparty 1714
2023-08-06,Equity in earnings of subsidiaries,280.55,Transaction 1715,Counterparty 1715
2023-12-08,Professional services:Financial consultancy,300.58,Transaction 1716,Counterparty 1716
2024-05-28,Accrued non-current liabilities,-3943.49,Transaction 1717,Counterparty 1717
2023-10-17,Goodwill,1035.58,Transaction 1718,Counterparty 1718
2023-02-11,WISE EUR,2071.42,Transaction 1719,Counterparty 1719
2023-07-17,Office expenses:Office equipment,2838.62,Transaction 1720,Counterparty 1720
2024-03-13,Staff expenses:Recruitment software,551.98,Transaction 1721,Counterparty 1721
2024-01-18,Inventory Asset,-2136.87,Transaction 1722,Counterparty 1722
2024-03-07,Marketing and sales:Advertising,505.4,Transaction 1723,Counterparty 1723
2023-12-19,Professional services:Financial & legal software,2337.48,Transaction 1724,Counterparty 1724
2023-08-14,Share capital,-1879.36,Transaction 1725,Counterparty 1725
2023-08-20,Undeposited Funds,-2851.03,Transaction 1726,Counterparty 1726
2024-02-24,Accounts Receivable (A/R) - EUR,2140.41,Transaction 1727,Counterparty 1727
2024-05-14,Long-term debt,-819.96,Transaction 1728,Counterparty 1728
2023-06-04,Mercury Checking *8932,-267.71,Transaction 1729,Counterparty 1729
2024-01-16,Long-Term Investments,-3279.03,Transaction 1730,Counterparty 1730
2024-03-28,Inventory Asset,4859.33,Transaction 1731,Counterparty 1731
2023-12-09,Payroll Clearing,4947.63,Transaction 1732,Counterparty 1732
2024-03-18,Accrued liabilities,944.36,Transaction 1733,Counterparty 1733
2023-01-08,Accrued non-current liabilities,-873.81,Transaction 1734,Counterparty 1734
2023-02-07,Professional services:Financial & legal software,-839.52,Transaction 1735,Counterparty 1735
2023-03-14,Uncategorised Expense,-1734.2,Transaction 1736,Counterparty 1736
2024-02-06,WISE USD,-1731.48,Transaction 1737,Counterparty 1737
2024-04-03,Mercury Checking *8932,1273.9,Transaction 1738,Counterparty 1738
2023-04-08,R&D expenses,-2503.26,Transaction 1739,Counterparty 1739
2024-03-03,Staff expenses:Operational software,1573.33,Transaction 1740,Counterparty 1740
2023-01-29,Exchange Loss,-604.93,Transaction 1741,Counterparty 1741
2024-05-02,Uncategorised Asset,2052.67,Transaction 1742,Counterparty 1742
2023-12-26,Mercury Checking *8932,-4886.61,Transaction 1743,Counterparty 1743
2023-04-24,Taxes:Federal Taxes,964.68,Transaction 1744,Counterparty 1744
